,id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName,text_emotion
26,Ugwm6qoHGCee5pnZncx4AaABAg,0.0,0,2018-08-29 12:32:46,gb rabillas,wheres hermione granger?,UCuupVLIoYjsOS4HNQDMs3fw,http://www.youtube.com/channel/UCuupVLIoYjsOS4HNQDMs3fw,0,,,0.0
27,Ugz-CvgajsSECKsiffR4AaABAg,0.0,0,2018-08-11 06:21:58,Nhật Thi Nguyễn,JK Rowling is truly god no kidding,UChRchcVS9-Ef_FQwx0ij3ag,http://www.youtube.com/channel/UChRchcVS9-Ef_FQwx0ij3ag,0,,,0.7034
28,UgwoUV_I3N-gEP7NvbN4AaABAg,0.0,0,2018-08-10 12:05:58,Vulpes Inculta,Such a shitty movie.,UCQnppQJqML3OOb-bNZ_Zt4g,http://www.youtube.com/channel/UCQnppQJqML3OOb-bNZ_Zt4g,0,,,-0.5574
29,UgxwBRb_9HDHRKKHYYx4AaABAg,0.0,0,2018-08-09 19:41:43,LEE PACE,It seems like eddie is still shooting for theory of everything ♥️😄,UCzL2tL7TDxbp66tQE6ls5Tw,http://www.youtube.com/channel/UCzL2tL7TDxbp66tQE6ls5Tw,0,,,0.3612
30,UgxK7lTEKAqUWb2ZfQJ4AaABAg,0.0,0,2018-07-29 21:55:01,Brucey,a load of crap and where to find it,UCIER7vsILtgu6JS7wmYY_sA,http://www.youtube.com/channel/UCIER7vsILtgu6JS7wmYY_sA,0,,,-0.3818
31,UgyneDd4Cu0a8rqvqCp4AaABAg,0.0,0,2018-07-28 14:59:18,RyanaKay Abdullah,All novel from J.K.Rowling is better to be film cinema...its amazing and 7star for rate...😘,UCCy9an4MCu7f3mYop2wVoSQ,http://www.youtube.com/channel/UCCy9an4MCu7f3mYop2wVoSQ,0,,,0.8402
32,UgyDqcTH1Jr9Y3wgmet4AaABAg,0.0,2,2018-07-28 10:21:32,blitzwackh,I don&#39;t care what other people think. This movie was better than any of the Harry Potter movies from 3 to 8!,UCPZz1p9RKMuOsC8RdKVHQyg,http://www.youtube.com/channel/UCPZz1p9RKMuOsC8RdKVHQyg,0,,,0.75
33,UgxEsieQlNY8kAS20ed4AaABAg,0.0,10,2018-07-21 22:30:20,G i u s y,Who is here after watching the new trailer of &quot;Fantastic Beats: The Crimes of Grindelwald&quot;?,UCM_zmyF7dVQH6yF_HfyvQew,http://www.youtube.com/channel/UCM_zmyF7dVQH6yF_HfyvQew,0,,,0.0
34,Ugz2s8eH_q0dHHNOlUF4AaABAg,0.0,0,2018-07-21 21:13:39,Tempz Davis,Why are they trying to americanise everything,UCQ6Nhda4oGJLFZDke2GUfWA,http://www.youtube.com/channel/UCQ6Nhda4oGJLFZDke2GUfWA,0,,,0.0
35,Ugyn-SFSaazR_izuTzB4AaABAg,0.0,0,2018-07-13 03:54:16,Angela Fink,I just got into Harry Potter last week(I’m almost done with book 4) and I can’t wait to watch this! I remember seeing this trailer in the movie theater a few years ago and thinking oh that looks cool! But if I watch it I’d have to give in to my friends pleading requests to read the books so I didn’t. Now I’m regretting that decision SO MUCH!,UCg9fWAa5MK8K4Ib3MBlpZfg,http://www.youtube.com/channel/UCg9fWAa5MK8K4Ib3MBlpZfg,0,,,0.5538
36,UgwDcWAPOxy9_J7mokV4AaABAg,0.0,0,2018-07-10 10:26:26,Sanjay Mange,the background music at the end was quite similar to harry potter<br />we will miss harry potter,UCd7N69HdlOxJeDgiBhdsItg,http://www.youtube.com/channel/UCd7N69HdlOxJeDgiBhdsItg,0,,,-0.1531
37,UgzUVPw_W9UV_OT_i3J4AaABAg,1.0,0,2018-06-18 12:38:41,Srinivas M,6362230744,UC-bXigNfZxZ6KD2oWniYm0Q,http://www.youtube.com/channel/UC-bXigNfZxZ6KD2oWniYm0Q,0,,,0.0
38,UgzUVPw_W9UV_OT_i3J4AaABAg.8hd92b-6a1w8hd96VEhRWt,,0,2018-06-18 12:39:12,Srinivas M,6372230744,UC-bXigNfZxZ6KD2oWniYm0Q,http://www.youtube.com/channel/UC-bXigNfZxZ6KD2oWniYm0Q,1,UgzUVPw_W9UV_OT_i3J4AaABAg,Srinivas M,0.0
39,UgxrTMHDnxBvSvpMoVN4AaABAg,0.0,0,2018-06-17 17:56:59,Dashing Binny,"FULL MOVIE LINK Fantastic Beast And Where To Find Them 2016 <a href=""https://www.youtube.com/watch?v=gDfIYJf7xrY"">https://www.youtube.com/watch?v=gDfIYJf7xrY</a> in dual audio HINDI and ENGLISH",UCzcKUtsoh0h9ERZRLX9AVQA,http://www.youtube.com/channel/UCzcKUtsoh0h9ERZRLX9AVQA,0,,,0.6072
40,UgxU37gqKLilWqKXLKt4AaABAg,0.0,0,2018-06-01 15:50:37,Johnnattan Corner,Can someone tell me where to find this song? I can&#39;t do it. :/ Thank you,UCyRRyIN5UoHVLO_dsUFenaA,http://www.youtube.com/channel/UCyRRyIN5UoHVLO_dsUFenaA,0,,,0.0258
41,Ugy85WzG685fg0FZHWN4AaABAg,0.0,0,2018-05-27 23:31:25,Róża in Wonderland,"they could have made this so much better, but people are so hungry for harry potter they will pay for anything relating to him i guess. i just wish it wasnt so cheesy and the acting to be more realistic.",UCCTYa8kwAfpX0a48jRiRkJw,http://www.youtube.com/channel/UCCTYa8kwAfpX0a48jRiRkJw,0,,,0.6173
42,UgzNqcTGfPsyQm5ak8F4AaABAg,0.0,0,2018-05-27 15:06:34,Emilia Harrington,Cool!,UCwNrxWNV91vvU_HpST0DcqA,http://www.youtube.com/channel/UCwNrxWNV91vvU_HpST0DcqA,0,,,0.3802
43,UgxPkcB9ITPl8b_huiR4AaABAg,0.0,0,2018-05-18 14:22:11,SuperGarryGamer,that hedwig theme remix though,UC5-yWZkgmmFsAjxthiip3tA,http://www.youtube.com/channel/UC5-yWZkgmmFsAjxthiip3tA,0,,,0.0
44,UgyxEs3VwpgtxRGoz4V4AaABAg,0.0,0,2018-05-09 09:15:10,Rosethorn 183,Did they just put hedwigs theme song in the end?,UCNMiYhuKq3u9lZabPj-SI1A,http://www.youtube.com/channel/UCNMiYhuKq3u9lZabPj-SI1A,0,,,0.0
45,UgzsCsH7RY7nrWoAPAl4AaABAg,0.0,0,2018-04-22 10:24:05,Bryankim Alfanta,Call me Jacob. ;),UChgfgLrL43-uCEDazmVMzdg,http://www.youtube.com/channel/UChgfgLrL43-uCEDazmVMzdg,0,,,0.2263
46,Ugz-PN7pvvakhPCr-y94AaABAg,0.0,0,2018-03-31 21:12:11,bleee 92,gaaaaayyy...,UC9Az3mS5GJJQ5Jb02I8ugvg,http://www.youtube.com/channel/UC9Az3mS5GJJQ5Jb02I8ugvg,0,,,0.0
47,UgwfUUNGR1SfuA41yv54AaABAg,0.0,0,2018-03-31 15:47:19,The Piano Man,Who else was disappointed with this moveo,UCHEZk7hlKVFGbao4JcXMcug,http://www.youtube.com/channel/UCHEZk7hlKVFGbao4JcXMcug,0,,,-0.4767
48,UgzB0pMUuaG43Kv-gJ94AaABAg,0.0,0,2018-03-31 15:23:24,kr g,"WORST HARRY POTTER FANS DON,T LIKE IT",UCkrKqpBZLs2NKyv641MVVuw,http://www.youtube.com/channel/UCkrKqpBZLs2NKyv641MVVuw,0,,,-0.3818
49,Ugx4h5-ICJJGudjzXHZ4AaABAg,1.0,1,2018-03-30 01:24:27,AWSOMUS MUSIC.,Just watched this..and must say it&#39;s captivating till the end.....don&#39;t know where the lion came from though.....😕,UCpD_CJEBRoqnBIpPyLw0NQg,http://www.youtube.com/channel/UCpD_CJEBRoqnBIpPyLw0NQg,0,,,0.0
50,Ugx4h5-ICJJGudjzXHZ4AaABAg.8eOxIKIxFQR8qtTSlYeFcw,,0,2019-02-03 13:27:25,mister XY,From the Control Parc. The Erumpent destroyed the cages.,UCSMEv59NgwZQqFQefPEOZfg,http://www.youtube.com/channel/UCSMEv59NgwZQqFQefPEOZfg,1,Ugx4h5-ICJJGudjzXHZ4AaABAg,AWSOMUS MUSIC.,-0.4939
51,UgzCfiolc26DH1Xk26t4AaABAg,0.0,1,2018-03-26 22:45:16,Pennywise The Dancing Clown,"<a href=""https://www.youtube.com/watch?v=Vso5o11LuGU&amp;t=1m02s"">1:02</a> that&#39;s just JK.rowlings ego again....",UCjjIkg_TpGpGQYltpxMqkZA,http://www.youtube.com/channel/UCjjIkg_TpGpGQYltpxMqkZA,0,,,0.0
52,UgzMBc15-cDvYhIA-RV4AaABAg,0.0,0,2018-03-26 22:44:20,Pennywise The Dancing Clown,This s is WAY lower key than the sequel...,UCjjIkg_TpGpGQYltpxMqkZA,http://www.youtube.com/channel/UCjjIkg_TpGpGQYltpxMqkZA,0,,,-0.296
53,UgzdcAvOpW65NoXM24J4AaABAg,0.0,0,2018-03-24 07:14:41,Kevin,"If anyone is looking for a really fun horror show to watch, give Ash VS Evil Dead a shot. The first two seasons are up on Netflix and season 3 is currently airing on Starz. It&#39;s one of the goriest and most original horror/comedy shows I&#39;ve ever seen! It has Bruce Campbell, Lucy Lawless, Lee Majors, etc.",UClRjjR3-5hzWfsRoJUW3QwA,http://www.youtube.com/channel/UClRjjR3-5hzWfsRoJUW3QwA,0,,,-0.8309
54,UgzqobtvSSE_cfNvOOF4AaABAg,0.0,1,2018-03-22 14:10:08,MasterofC,The Crimes of grindlewald trailer is sooo much beter than this,UCBNwTpwx9Wh2N7fg6QL0jpA,http://www.youtube.com/channel/UCBNwTpwx9Wh2N7fg6QL0jpA,0,,,0.0
55,UgyskkN6C-29Ukn9Qtt4AaABAg,0.0,1,2018-03-21 03:49:03,truth,omg god freaking hell hogwarts muggle jk Rowling so exited hypervebgtuim 2 many grmmaerr eerrrorrss Ahhhh,UC1sEnDvW1CAREdDdoLMsPew,http://www.youtube.com/channel/UC1sEnDvW1CAREdDdoLMsPew,0,,,-0.6597
56,Ugw2ZKnowiEvvPaR1KZ4AaABAg,2.0,1,2018-03-18 08:16:38,Arthur,"I wanna watch these movies, but, I have to ask, considering the author, are they SJW-fests, or are they just good stories, like Harry Potter? Basically, am I going to suffer through moral preening if I watch these?",UCBsFKkOIYkVt2L8VXnAsopA,http://www.youtube.com/channel/UCBsFKkOIYkVt2L8VXnAsopA,0,,,0.4039
57,Ugw2ZKnowiEvvPaR1KZ4AaABAg.8dvmvml_G-K8e7VtAJ4X1v,,1,2018-03-23 06:49:07,Arthur,I'm glad to hear it. Thank you!,UCBsFKkOIYkVt2L8VXnAsopA,http://www.youtube.com/channel/UCBsFKkOIYkVt2L8VXnAsopA,1,Ugw2ZKnowiEvvPaR1KZ4AaABAg,Arthur,0.6996
58,Ugw2ZKnowiEvvPaR1KZ4AaABAg.8dvmvml_G-K8e7V_L9qKuO,,0,2018-03-23 06:46:25,Edward Mercer,they are just good stories this is very good but the sequel looks even more amazing check the trailer out,UCl_E_eo8Iv4xfsggdg-vB4w,http://www.youtube.com/channel/UCl_E_eo8Iv4xfsggdg-vB4w,1,Ugw2ZKnowiEvvPaR1KZ4AaABAg,Arthur,0.8604
59,UgwPPkjU45ff7Tt6L814AaABAg,0.0,1,2018-03-15 18:21:06,Bitter Sweet Hufflepuff,omg the nostalgia,UCxe0aAHacKuw5ektEnbPdSQ,http://www.youtube.com/channel/UCxe0aAHacKuw5ektEnbPdSQ,0,,,0.0
60,UgwUSd8wTHfSzf3VveV4AaABAg,0.0,0,2018-03-15 18:20:42,Bitter Sweet Hufflepuff,omg the nostalgia,UCxe0aAHacKuw5ektEnbPdSQ,http://www.youtube.com/channel/UCxe0aAHacKuw5ektEnbPdSQ,0,,,0.0
61,UgyGiLQKp0_mEV5m9NV4AaABAg,0.0,2,2018-03-15 14:37:48,sunny,Raise your hand if you are here after watching fantastic beasts 2 trailer,UCEMT4grZbauNWtv6M-O872A,http://www.youtube.com/channel/UCEMT4grZbauNWtv6M-O872A,0,,,0.7783
62,UgyB0FtrSmQqw-g0ki94AaABAg,2.0,1,2018-03-14 14:59:47,MAISSA MEFTAH,can someone explain to me please? is this before Harry Potter? or after!? ... when was this!,UCg6RpQ_BKfgzMCGJnUg_LDA,http://www.youtube.com/channel/UCg6RpQ_BKfgzMCGJnUg_LDA,0,,,0.5305
63,UgyB0FtrSmQqw-g0ki94AaABAg.8dmCt-ntB3T8e8BpEm06E0,,0,2018-03-23 13:13:03,MAISSA MEFTAH,thank you!,UCg6RpQ_BKfgzMCGJnUg_LDA,http://www.youtube.com/channel/UCg6RpQ_BKfgzMCGJnUg_LDA,1,UgyB0FtrSmQqw-g0ki94AaABAg,MAISSA MEFTAH,0.4199
64,UgyB0FtrSmQqw-g0ki94AaABAg.8dmCt-ntB3T8e7VdUOEOm1,,1,2018-03-23 06:46:58,Edward Mercer,Before it's set in the 20s harry potter was set in the 90s but dumbledore will be in this franchise,UCl_E_eo8Iv4xfsggdg-vB4w,http://www.youtube.com/channel/UCl_E_eo8Iv4xfsggdg-vB4w,1,UgyB0FtrSmQqw-g0ki94AaABAg,MAISSA MEFTAH,0.0
65,Ugy_GEHL8PW9QC_iXiR4AaABAg,0.0,1,2018-03-14 14:44:30,Paul,If you add one letter to this title it becomes fantastic breasts and where to find them lol,UCx3-i9ezOu04N5rUbpcPhMg,http://www.youtube.com/channel/UCx3-i9ezOu04N5rUbpcPhMg,0,,,0.7506
66,Ugwl1IqFzVenGs9yfjh4AaABAg,2.0,1,2018-03-14 13:03:46,LoveOlderWomen,"I love the harry potter universe but for some reason this Fantastic Beast thingy is not very appealing to me. It&#39;s too Americanized, and not only that, it is also too Jewish for my taste. Goldstein, Kowalski come on.",UCywP14rZo3r1lxLXhJbIwwg,http://www.youtube.com/channel/UCywP14rZo3r1lxLXhJbIwwg,0,,,0.8582
67,Ugwl1IqFzVenGs9yfjh4AaABAg.8dm-bEHwpFi8qtTdkkyZcN,,0,2019-02-03 13:29:03,mister XY,Is Kowalski a jewish name? It's a popular Polnish name.,UCSMEv59NgwZQqFQefPEOZfg,http://www.youtube.com/channel/UCSMEv59NgwZQqFQefPEOZfg,1,Ugwl1IqFzVenGs9yfjh4AaABAg,LoveOlderWomen,0.4215
68,Ugwl1IqFzVenGs9yfjh4AaABAg.8dm-bEHwpFi8e7VlOgise9,,0,2018-03-23 06:48:03,Edward Mercer,well then you're in luck the next film is set in paris and its largely based on newt dumbledore and grindelwald so i think that's more appealing for you,UCl_E_eo8Iv4xfsggdg-vB4w,http://www.youtube.com/channel/UCl_E_eo8Iv4xfsggdg-vB4w,1,Ugwl1IqFzVenGs9yfjh4AaABAg,LoveOlderWomen,0.6249
69,Ugz0_k9slGHZsAatX1h4AaABAg,0.0,0,2018-03-14 09:18:48,Debashis Mishra,Potterheads🧙‍♀🧙‍♂ raise your wands🥢❕💠🌀✨ today in the🌍 world wide mourning of the ♿Wheel Chaired 💺Scientist...☄,UCtlHz0vR-XRQ3HQPPXoULxg,http://www.youtube.com/channel/UCtlHz0vR-XRQ3HQPPXoULxg,0,,,-0.4404
70,UgyrbMwO0IiZVO04ueJ4AaABAg,0.0,1,2018-03-14 04:11:25,Xevlon Perç,Fantanstic Breasts And Where To Find Them.,UCaXm81vXaRXXCocd3BkSejQ,http://www.youtube.com/channel/UCaXm81vXaRXXCocd3BkSejQ,0,,,0.0
71,UgzFJaR0-8-6vSUxvkd4AaABAg,0.0,0,2018-02-26 22:33:06,Omar Groves,"To see more of these &quot;Niggas under the stairs&quot; and what they got, u can watch this movie and see the Arizona seen, with the green bobble head dick looking hatchling snakes.",UCYCO25ldgB62ZBfR2vXjqcw,http://www.youtube.com/channel/UCYCO25ldgB62ZBfR2vXjqcw,0,,,-0.5106
72,Ugw08URxCt5o0MHH6ZN4AaABAg,1.0,1,2018-02-18 15:40:15,Sarah Mai,"watching this movie right now,, and fuck I hate characters like tina,troubling other ppl,, and that madam of wizard something whatever the fuck her name is, is so fucking stupid too smh",UC017n_nNpDLLodfmKoaAWfA,http://www.youtube.com/channel/UC017n_nNpDLLodfmKoaAWfA,0,,,-0.9407
73,Ugw08URxCt5o0MHH6ZN4AaABAg.8coURP63-1e8e7VraZFyVh,,0,2018-03-23 06:48:54,Edward Mercer,well oh well watch the sequel cause dumbledore :),UCl_E_eo8Iv4xfsggdg-vB4w,http://www.youtube.com/channel/UCl_E_eo8Iv4xfsggdg-vB4w,1,Ugw08URxCt5o0MHH6ZN4AaABAg,Sarah Mai,0.7351
74,Ugxggbvr7ofFWb1E_Hh4AaABAg,0.0,0,2018-02-13 19:54:13,Amber Rowe,I love this,UC8YV7Oshh-feorTE0hZ2o5A,http://www.youtube.com/channel/UC8YV7Oshh-feorTE0hZ2o5A,0,,,0.6369
75,UgxJfPw7aWA0WppBfCB4AaABAg,0.0,0,2018-02-10 09:46:50,ShanieMtiu,no offense tho,UCQVvXOcquyzipoVCWeeHYLg,http://www.youtube.com/channel/UCQVvXOcquyzipoVCWeeHYLg,0,,,-0.4939
76,Ugyu2QUO8ea6rI0F9p94AaABAg,0.0,0,2018-02-10 09:46:41,ShanieMtiu,so hard to think that Dumbledore had feelings for Grindelwald. Like....bleah,UCQVvXOcquyzipoVCWeeHYLg,http://www.youtube.com/channel/UCQVvXOcquyzipoVCWeeHYLg,0,,,-0.1761
77,Ugz9gIgQWfrCp390r3J4AaABAg,0.0,1,2018-02-02 23:24:49,Sir_Arzie,"badly acted and cringy, youre all blind fanboys.",UCPbdTh1YZiOZGoVOg8XoWtg,http://www.youtube.com/channel/UCPbdTh1YZiOZGoVOg8XoWtg,0,,,-0.7003
78,UgwvIAtm5uAdBbwvFMx4AaABAg,0.0,0,2018-01-31 04:32:58,GLP .TV/Fan,Ist der Film auch auf Englisch?,UC8dBqvaBaiUbUZZCUtkq_sw,http://www.youtube.com/channel/UC8dBqvaBaiUbUZZCUtkq_sw,0,,,0.0
79,UgxiFcQHbAeViRWDuD54AaABAg,0.0,0,2018-01-27 01:40:21,Zegik Niet,This movie is reminding me of cern,UCqpHD3tVFRmru2aZ3k_6bUQ,http://www.youtube.com/channel/UCqpHD3tVFRmru2aZ3k_6bUQ,0,,,0.0
80,UgxrJHveHAUrK5ujrw54AaABAg,0.0,0,2018-01-21 23:55:02,Shahida [X],Absolutely loved it!,UCoYycwN-ISrIgJRr51nRvZw,http://www.youtube.com/channel/UCoYycwN-ISrIgJRr51nRvZw,0,,,0.6689
81,UgxGP0m-dxKYkfqbBSV4AaABAg,0.0,0,2018-01-16 20:58:43,Chris Jordan,She rats schimander out twice and he still likes her! FREAK!,UCLwkEdoARbb4fov2qriJOHQ,http://www.youtube.com/channel/UCLwkEdoARbb4fov2qriJOHQ,0,,,-0.3436
82,UgxR5YfHYZvbeLhJU1R4AaABAg,0.0,0,2018-01-13 20:17:27,star dust,Stop comparing this movie with Harry Potter. This tells before the harry potter. Also i just watched and i liked it. Harry pottes was a legend. Nothing keeps it&#39;s place. And there will be no movie like Harry Potter. But we must go on. Because it&#39;s over. So we have to give a change to the other movies. So please stop comparing!,UCbboERSwASSAXv3GwnuJdKg,http://www.youtube.com/channel/UCbboERSwASSAXv3GwnuJdKg,0,,,0.3197
83,Uggs9LSnPSA2-3gCoAEC,0.0,1,2018-01-12 10:15:06,Lamija Ćehajić,Harry Potter is better,UCIjK5b7SCzv_C2Es1mX20sw,http://www.youtube.com/channel/UCIjK5b7SCzv_C2Es1mX20sw,0,,,0.4404
