country,HDI,lifespan,schooling,income
Uzbekistan,0.641,68.3,10,2967
Micronesia (Federated States of),0.636,69,8.8,2935
Guyana,0.633,69.9,8,3192
Botswana,0.633,53.2,8.9,13049
Syrian Arab Republic,0.632,75.9,5.7,4243
Namibia,0.625,62.5,7.4,6206
Honduras,0.625,73.1,6.5,3443
Kiribati,0.624,68.1,7.8,3140
South Africa,0.619,52.8,8.5,9469
Indonesia,0.617,69.4,5.8,3716
Vanuatu,0.617,71,6.7,3950
Kyrgyzstan,0.615,67.7,9.3,2036
Tajikistan,0.607,67.5,9.8,1937
Viet Nam,0.593,75.2,5.5,2805
Nicaragua,0.589,74,5.8,2430
Morocco,0.582,72.2,4.4,4196
Guatemala,0.574,71.2,4.1,4167
Iraq,0.573,69,5.6,3177
Cape Verde,0.568,74.2,3.5,3402
India,0.547,65.4,4.4,3468
Ghana,0.541,64.2,7.1,1584
Equatorial Guinea,0.537,51.1,5.4,17608
Congo,0.533,57.4,5.9,3066
Lao People's Democratic Republic,0.524,67.5,4.6,2242
Cambodia,0.523,63.1,5.8,1848
Swaziland,0.522,48.7,7.1,4484
Bhutan,0.522,67.2,2.3,5293
Solomon Islands,0.51,67.9,4.5,1782
Kenya,0.509,57.1,7,1492
Sao Tome and Principe,0.509,64.7,4.2,1792
Pakistan,0.504,65.4,4.9,2550
Bangladesh,0.5,68.9,4.8,1529
Timor-Leste,0.495,62.5,2.8,3005
Angola,0.486,51.1,4.4,4874
Myanmar,0.483,65.2,4,1535
Cameroon,0.482,51.6,5.9,2031
Madagascar,0.48,66.7,5.2,824
Tanzania (United Republic of),0.466,58.2,5.1,1328
Papua New Guinea,0.466,62.8,4.3,2271
Yemen,0.462,65.5,2.5,2213
Senegal,0.459,59.3,4.5,1708
Nigeria,0.459,51.9,5,2069
Nepal,0.458,68.8,3.2,1160
Haiti,0.454,62.1,4.9,1123
Mauritania,0.453,58.6,3.7,1859
Lesotho,0.45,48.2,5.9,1664
Uganda,0.446,54.1,4.7,1124
Togo,0.435,57.1,5.3,798
Comoros,0.433,61.1,2.8,1079
Zambia,0.43,49,6.5,1254
Djibouti,0.43,57.9,3.8,2335
Rwanda,0.429,55.4,3.3,1133
Benin,0.427,56.1,3.3,1364
Gambia,0.42,58.5,2.8,1282
Sudan,0.408,61.5,3.1,1894
Côte d'Ivoire,0.4,55.4,3.3,1387
Malawi,0.4,54.2,4.2,753
Afghanistan,0.398,48.7,3.3,1416
Zimbabwe,0.376,51.4,7.2,376
Ethiopia,0.363,59.3,1.5,971
Mali,0.359,51.4,2,1123
Guinea-Bissau,0.353,48.1,2.3,994
Eritrea,0.349,61.6,3.4,536
Guinea,0.344,54.1,1.6,863
Central African Republic,0.343,48.4,3.5,707
Sierra Leone,0.336,47.8,2.9,737
Burkina Faso,0.331,55.4,1.3,1141
Liberia,0.329,56.8,3.9,265
Chad,0.328,49.6,1.5,1105
Mozambique,0.322,50.2,1.2,898
Burundi,0.316,50.4,2.7,368
Niger,0.295,54.7,1.4,641
Congo (Democratic Republic of the),0.286,48.4,3.5,280
Korea (Democratic People's Rep. of),NA,68.8,NA,NA
Marshall Islands,NA,72,9.8,NA
Monaco,NA,82.2,NA,NA
Nauru,NA,79.9,NA,NA
San Marino,NA,81.8,NA,NA
Somalia,NA,51.2,NA,NA
Tuvalu,NA,67.2,NA,NA
